timestamp,open,high,low,close,volume
2025-05-07,235.3,244.4,235.25,244.05,213933
2025-05-06,243.8,245.75,240.6,241.1,168379
2025-05-05,243.45,246.8,242.7,243.35,245642
2025-05-02,241.8,245.8,240.65,242.75,688146
2025-04-30,241.3,243.4,239.1,241.5,678498
2025-04-29,240.7,243.6,239.8,241.45,942820
2025-04-28,240.2,241.95,238.75,240.5,259243
2025-04-25,243.7,246.15,238.0,240.8,1123223
2025-04-24,245.75,245.75,241.5,242.75,942599
2025-04-23,236.4,245.2,236.4,243.6,2712682
2025-04-22,238.85,239.0,233.6,234.2,1154690
2025-04-21,237.65,240.8,237.55,238.45,1172040
2025-04-17,235.8,238.0,232.2,236.9,2665453
2025-04-16,244.55,248.3,241.1,247.5,773673
2025-04-15,245.0,245.0,241.3,244.1,628762
2025-04-11,246.6,246.6,238.3,239.8,669938
2025-04-09,242.3,242.3,234.0,236.65,871507
2025-04-08,245.05,249.4,243.95,247.25,260649
2025-04-07,225.05,243.95,225.05,242.85,541459
2025-04-04,252.65,253.9,244.95,246.25,1103760
2025-04-03,260.0,260.5,255.4,256.4,890865
2025-04-02,262.65,265.6,261.15,263.65,256435
2025-04-01,261.0,263.0,258.7,262.65,271422
2025-03-28,271.8,271.8,261.6,262.1,504055
2025-03-27,270.0,273.6,269.5,272.05,492612
2025-03-26,272.0,272.25,266.65,267.25,322194
2025-03-25,271.4,274.6,269.45,271.1,595181
2025-03-24,267.95,271.5,265.45,269.4,539299
2025-03-21,264.95,269.5,260.3,264.35,428108
2025-03-20,269.9,274.0,267.45,267.95,805326
2025-03-19,262.45,266.35,256.35,265.75,598548
2025-03-18,261.45,262.85,259.45,261.4,177332
2025-03-17,264.2,265.2,258.95,259.8,202632
2025-03-13,268.6,271.0,263.3,263.95,258726
2025-03-12,277.95,277.95,262.2,268.4,905657
2025-03-11,275.95,278.95,273.1,277.95,408898
2025-03-10,285.5,285.55,278.2,280.9,124215
2025-03-07,287.05,287.85,282.95,284.75,99191
2025-03-06,290.8,290.8,283.5,285.75,257649
2025-03-05,281.1,286.9,279.0,285.0,242195
2025-03-04,279.9,283.0,276.3,279.85,301599
2025-03-03,278.3,286.3,278.3,283.6,792910
2025-02-28,292.4,293.3,277.0,277.65,881029
2025-02-27,294.75,295.8,291.35,294.65,361007
2025-02-25,294.95,296.3,290.15,291.3,223500
2025-02-24,303.45,303.45,293.4,295.0,282460
2025-02-21,313.15,313.15,305.0,306.25,943723
2025-02-20,310.75,314.3,310.4,313.15,257273
2025-02-19,311.35,316.5,308.45,314.05,244016
2025-02-18,304.55,312.75,304.55,312.1,636917
2025-02-17,306.1,310.5,301.95,305.45,711143
2025-02-14,310.0,312.3,304.4,308.1,472433
2025-02-13,305.15,313.65,305.15,308.5,778546
2025-02-12,312.95,315.85,309.3,310.2,165540
2025-02-11,320.95,320.95,311.65,312.9,183659
2025-02-10,318.55,320.95,315.65,318.9,609736
2025-02-07,318.05,318.95,314.0,318.05,144439
2025-02-06,319.0,323.5,314.55,317.9,924583
2025-02-05,318.0,321.5,314.7,317.1,500620
2025-02-04,317.1,319.15,313.3,316.25,557143
2025-02-03,303.75,313.9,300.5,313.5,641088
2025-02-01,314.4,314.4,303.25,304.95,480148
2025-01-31,312.0,315.75,309.4,312.0,999856
2025-01-30,311.95,313.7,306.15,309.3,734154
2025-01-29,305.0,314.6,305.0,312.3,450611
2025-01-28,302.1,307.7,301.5,303.55,580386
2025-01-27,318.25,319.1,306.95,308.05,1012091
2025-01-24,319.45,322.6,316.7,320.05,454892
2025-01-23,311.45,324.55,310.5,317.65,1777423
2025-01-22,298.7,310.0,298.7,309.05,1224543
2025-01-21,304.7,305.75,297.85,298.3,465487
2025-01-20,300.0,305.35,296.85,300.15,2440371
2025-01-17,288.05,288.05,280.75,281.85,533275
2025-01-16,296.0,296.25,286.75,288.05,308828
2025-01-15,292.9,294.7,289.75,292.55,277695
2025-01-14,290.05,294.5,286.5,292.9,409120
2025-01-13,298.05,299.1,290.2,291.85,897803
2025-01-10,292.55,303.25,292.55,300.6,654213
2025-01-09,297.4,297.5,291.45,292.15,726091
2025-01-08,293.75,298.35,289.3,297.5,276519
2025-01-07,294.2,297.45,291.35,293.75,225960
2025-01-06,294.65,297.55,290.4,294.2,901570
2025-01-03,303.5,303.6,294.0,294.45,658543
2025-01-02,300.0,304.4,297.2,303.65,1048253
2025-01-01,300.95,303.4,299.05,300.3,320998
2024-12-31,301.7,302.95,295.3,302.0,224844
2024-12-30,309.65,309.65,302.8,303.65,926444
2024-12-27,305.95,310.8,304.9,309.1,224891
2024-12-26,306.15,306.85,303.9,304.5,1106979
2024-12-24,307.85,309.25,302.7,305.25,1346568
2024-12-23,306.25,310.6,305.05,307.9,236866
2024-12-20,315.55,319.95,304.5,305.15,565306
2024-12-19,306.0,313.0,301.05,312.7,799968
2024-12-18,308.8,313.25,308.75,312.65,305575
2024-12-17,311.95,311.95,307.4,308.8,268343
2024-12-16,310.1,311.45,307.15,309.1,474395
2024-12-13,309.05,310.95,304.2,310.0,252949
2024-12-12,308.95,313.75,307.55,309.0,667006
2024-12-11,308.65,309.9,305.55,309.0,249728
2024-12-10,306.9,310.35,303.4,307.9,985512
2024-12-09,297.85,305.7,293.9,304.15,372377
2024-12-06,299.45,299.45,296.0,297.25,635129
2024-12-05,295.35,300.85,293.8,299.3,707762
2024-12-04,295.0,297.0,291.85,294.15,624683
2024-12-03,295.5,295.5,289.5,291.7,680966
2024-12-02,583.0,585.4,578.5,584.55,857908
2024-11-29,575.75,580.8,572.0,577.95,495480
2024-11-28,585.05,585.95,570.6,572.3,674616
2024-11-27,593.05,596.0,581.75,582.7,1380950
2024-11-26,585.0,590.0,579.3,589.05,992654
2024-11-25,577.95,587.5,574.0,582.75,655678
2024-11-22,561.25,573.45,558.1,571.4,2198778
2024-11-21,560.05,567.45,555.3,557.2,712788
2024-11-20,999999.9999,999999.9999,999999.9999,999999.9999,0
2024-11-19,555.35,569.5,554.8,561.65,1010236
2024-11-18,566.25,566.25,540.25,553.0,1555010
2024-11-14,568.95,574.5,564.15,566.0,740980
2024-11-13,570.65,573.5,565.65,568.95,747058
2024-11-12,578.55,579.55,569.05,570.4,1066096
2024-11-11,569.9,583.0,565.8,572.25,814820
2024-11-08,568.8,578.8,565.0,568.85,1646230
2024-11-07,566.95,569.7,554.6,563.25,729860
2024-11-06,548.75,565.9,541.0,564.05,714896
2024-11-05,543.55,545.15,540.55,543.65,458422
2024-11-04,551.35,552.55,534.5,540.4,617144
2024-11-01,552.7,553.75,550.1,551.15,309100
2024-10-31,564.9,566.4,548.3,551.8,1195640
2024-10-30,562.2,578.55,561.5,565.5,1647998
2024-10-29,559.15,563.25,553.4,562.2,1030104
2024-10-28,544.7,559.75,543.0,558.8,582894
2024-10-25,549.0,551.0,540.5,543.2,1501474
2024-10-24,547.95,550.35,545.45,546.95,1072624
2024-10-23,547.45,554.3,542.25,547.15,1359332
2024-10-22,550.0,555.5,543.8,545.6,1190436
2024-10-21,554.85,561.85,546.75,547.85,2976106
2024-10-18,532.15,558.0,524.9,548.7,4109542
2024-10-17,536.75,537.9,524.95,528.8,1613144
2024-10-16,532.5,538.65,529.1,532.25,1164914
2024-10-15,553.4,553.4,530.8,532.95,866004
2024-10-14,538.85,551.7,536.4,549.45,2850736
2024-10-11,521.85,534.2,521.6,528.95,1490966
2024-10-10,535.0,537.3,523.35,524.9,1267786
2024-10-09,530.1,538.6,528.85,531.45,2066938
2024-10-08,531.6,533.65,520.35,526.8,2585110
2024-10-07,538.0,541.45,526.0,531.4,587130
2024-10-04,528.45,541.95,528.45,533.5,884072
2024-10-03,537.05,542.05,526.5,529.9,810958
2024-10-01,542.5,549.6,540.05,546.65,452258
2024-09-30,539.0,544.1,534.25,541.35,295432
2024-09-27,547.05,558.55,540.7,541.7,1630466
2024-09-26,537.3,543.1,535.5,541.9,922010
2024-09-25,537.75,539.15,530.8,536.3,290120
2024-09-24,532.0,541.8,529.5,539.15,505574
2024-09-23,538.8,540.4,532.15,534.55,545580
2024-09-20,538.65,540.0,531.5,538.8,902360
2024-09-19,542.05,551.5,529.45,533.25,878766
2024-09-18,550.9,550.9,532.95,537.8,814872
2024-09-17,548.35,554.65,547.25,551.65,289542
2024-09-16,553.0,556.75,548.65,551.5,1154780
2024-09-13,533.05,552.5,530.9,550.65,1519360
2024-09-12,520.0,531.85,518.0,529.85,803980
2024-09-11,525.0,526.1,513.3,514.55,228900
2024-09-10,519.4,528.0,513.9,525.6,552236
2024-09-09,515.55,521.55,514.05,514.85,901226
2024-09-06,524.0,529.85,518.35,520.5,1095972
2024-09-05,521.0,525.8,519.6,524.9,938918
2024-09-04,526.05,528.45,516.85,519.15,1472832
2024-09-03,533.15,540.6,529.6,536.15,1304294
2024-09-02,538.2,542.0,531.9,532.15,1190790
2024-08-30,542.4,542.4,535.65,538.2,1189614
2024-08-29,535.15,541.8,534.05,538.6,2118700
2024-08-28,520.95,537.85,517.9,534.6,966616
2024-08-27,520.3,523.2,516.15,517.1,502424
2024-08-26,517.25,524.75,516.6,519.9,866608
2024-08-23,520.45,520.7,511.55,512.35,888996
2024-08-22,527.05,530.5,518.25,518.75,793948
2024-08-21,523.95,527.8,521.05,525.65,201354
2024-08-20,520.0,527.55,520.0,524.6,346428
2024-08-19,516.6,523.0,513.65,519.5,781126
2024-08-16,502.1,517.5,498.1,516.4,820610
2024-08-14,492.5,496.7,490.8,495.1,164954
2024-08-13,489.0,492.7,487.4,490.4,220928
2024-08-12,485.25,493.5,485.25,488.95,545882
2024-08-09,495.9,496.5,489.75,491.3,561684
2024-08-08,496.95,496.95,486.2,487.05,652596
2024-08-07,497.25,500.0,492.95,497.5,206730
2024-08-06,487.75,499.25,487.0,489.45,903770
2024-08-05,490.0,495.8,480.3,485.2,595666
2024-08-02,512.45,519.0,500.8,502.0,1665054
2024-08-01,522.5,526.7,517.5,521.55,790124
2024-07-31,523.2,525.0,519.5,522.05,446634
2024-07-30,524.2,526.85,519.95,521.5,292100
2024-07-29,527.9,530.7,522.85,524.2,942434
2024-07-26,509.05,528.5,509.0,525.0,1306088
2024-07-25,496.55,507.65,493.6,506.8,544548
2024-07-24,502.0,506.45,499.7,500.05,815758
2024-07-23,509.35,509.35,486.65,500.55,936918
2024-07-22,520.0,526.3,501.8,505.75,4509380
2024-07-19,580.0,580.0,555.0,557.25,1991074
2024-07-18,555.3,574.4,555.3,573.2,980236
2024-07-16,560.2,562.6,556.65,559.6,458066
2024-07-15,567.2,567.3,556.25,559.35,586100
2024-07-12,542.35,564.7,541.5,560.05,4540702
2024-07-11,535.9,539.6,530.0,534.35,290252
2024-07-10,540.35,543.15,531.95,535.25,479756
2024-07-09,543.5,544.0,537.35,540.8,805360
2024-07-08,535.05,542.4,535.0,541.25,488370
2024-07-05,531.95,536.6,529.6,535.0,1187160
2024-07-04,541.3,548.7,529.0,530.45,1742486
2024-07-03,542.85,545.25,535.45,539.05,557780
2024-07-02,530.0,545.0,528.9,538.1,1297750
2024-07-01,515.5,535.5,513.8,527.25,3100074
2024-06-28,513.55,516.5,506.0,514.9,1298858
2024-06-27,494.25,511.9,489.15,510.7,1101332
2024-06-26,496.7,499.75,493.8,495.15,682370
2024-06-25,490.05,498.0,489.4,497.05,278818
2024-06-24,488.25,495.0,488.25,490.45,811350
2024-06-21,497.0,500.7,489.0,490.55,3117812
2024-06-20,496.6,497.1,488.45,490.5,413636
2024-06-19,491.95,497.0,486.65,495.6,1543696
2024-06-18,482.85,492.95,480.6,491.85,1219966
2024-06-14,485.0,485.55,475.5,477.35,417354
2024-06-13,480.55,485.35,480.0,482.4,1130552
2024-06-12,478.7,484.45,475.75,476.9,413956
2024-06-11,478.15,479.1,474.5,475.95,447966
2024-06-10,493.75,493.75,473.55,475.0,948212
2024-06-07,470.95,486.25,468.55,484.45,6419170
2024-06-06,455.55,462.0,452.75,461.0,1214912
2024-06-05,439.95,454.8,439.25,451.55,428678
2024-06-04,447.75,447.75,416.8,437.8,731356
2024-06-03,448.25,450.0,441.65,443.95,438814
2024-05-31,436.95,442.0,435.6,437.75,1345130
2024-05-30,449.25,449.3,435.15,436.95,1125332
2024-05-29,455.0,455.45,449.35,450.9,178532
2024-05-28,453.05,457.2,453.0,456.0,632986
2024-05-27,462.5,462.5,451.55,452.55,661128
2024-05-24,468.45,470.5,462.0,463.5,1003826
2024-05-23,463.0,468.0,462.0,465.9,354430
2024-05-22,463.0,463.65,458.9,461.25,220404
2024-05-21,463.0,464.85,459.85,460.85,288672
2024-05-18,999999.9999,999999.9999,999999.9999,999999.9999,72200
2024-05-17,464.5,464.5,459.8,461.05,325296
2024-05-16,460.05,467.5,456.3,464.35,307396
2024-05-15,456.35,459.25,454.8,458.1,191180
2024-05-14,452.35,459.9,452.25,456.35,362846
2024-05-13,451.7,453.15,445.0,452.1,149338
2024-05-10,456.55,457.55,450.2,451.7,412060
2024-05-09,460.85,464.5,454.1,454.95,258682
2024-05-08,464.35,466.35,461.35,462.9,257314
2024-05-07,462.0,465.55,454.0,463.45,611406
2024-05-06,457.6,462.5,456.75,458.25,219094
2024-05-03,460.0,461.65,453.3,456.85,322840
2024-05-02,462.95,462.95,455.55,457.25,389002
2024-04-30,463.55,466.6,461.25,462.3,463732
2024-04-29,466.25,468.0,461.6,462.95,571878
2024-04-26,461.3,475.7,461.3,464.65,1792580
2024-04-25,458.25,462.3,455.9,461.0,723598
2024-04-24,462.35,464.7,458.6,460.2,179476
2024-04-23,467.65,467.65,460.2,462.0,272178
2024-04-22,452.5,466.0,450.0,461.95,1373482
2024-04-19,440.0,454.0,437.0,452.85,920702
2024-04-18,452.0,455.4,443.0,444.3,1442780
2024-04-16,453.55,458.65,444.95,448.6,702536
2024-04-15,461.5,468.35,458.2,459.25,1241192
2024-04-12,477.7,480.2,470.05,470.9,699218
2024-04-10,477.5,479.35,473.1,477.25,673692
